MEM,func,k,AAE,ARE,_sum,throughput
90,CuckooSketchPro,200,0.045,0.000166606,181/200,26.6319,
90,heavykeeper,200,3.5,0.0150808,170/200,17.1624,
90,LossyCounting,200,236.9,193.411,46/200,1.97513,
90,spacesaving,200,439.015,304.852,48/200,17.7715,
90,CuckooCounter,300,0.886667,0.273684,295/300,19.8393,
90,CuckooSketch,300,0.04,0.000168969,296/300,21.0646,
90,CuckooSketchPro,300,0.03,0.000111071,297/300,26.6624,
90,heavykeeper,300,5.51,0.028879,295/300,16.7283,
90,LossyCounting,300,260.267,231.274,46/300,1.9688,
90,spacesaving,300,468.83,361.338,51/300,17.7873,
90,CuckooCounter,400,0.115,0.001902,400/400,19.7609,
90,CuckooSketch,400,0.3675,inf,399/400,20.9811,
90,CuckooSketchPro,400,0.18,0.00268648,400/400,26.7903,
90,heavykeeper,400,10.7325,0.212801,378/400,16.7692,
90,LossyCounting,400,271.95,250.206,46/400,1.97183,
90,spacesaving,400,484.998,400.758,58/400,17.5325,
90,CuckooCounter,500,0.408,0.0664909,473/500,19.5454,
90,CuckooSketch,500,0.482,inf,468/500,20.91,
90,CuckooSketchPro,500,0.306,0.0124618,461/500,26.7989,
90,heavykeeper,500,11.048,0.343283,398/500,16.6558,
90,LossyCounting,500,278.96,261.564,46/500,1.98407,
90,spacesaving,500,492.514,396.724,65/500,17.7544,
90,CuckooCounter,600,1.46833,0.615454,490/600,19.0643,
90,CuckooSketch,600,0.646667,inf,509/600,20.9908,
90,CuckooSketchPro,600,0.368333,0.0395872,506/600,26.8233,
90,heavykeeper,600,9.90333,0.214296,422/600,16.4002,
90,LossyCounting,600,283.633,269.137,46/600,1.93005,
90,spacesaving,600,493.948,391.628,81/600,17.7132,
90,CuckooCounter,700,1.69857,0.835558,500/700,19.1876,
90,CuckooSketch,700,0.745714,inf,551/700,21.1586,
90,CuckooSketchPro,700,0.398571,0.0732956,549/700,26.8687,
90,heavykeeper,700,10.0729,0.31471,423/700,16.2933,
90,LossyCounting,700,286.971,274.546,46/700,1.97728,
90,spacesaving,700,499.401,394.124,82/700,17.5322,
90,CuckooCounter,800,2.15,1.09288,531/800,19.0509,
90,CuckooSketch,800,0.8975,inf,570/800,21.1595,
90,CuckooSketchPro,800,0.44625,0.0985654,567/800,26.9411,
90,heavykeeper,800,11.6175,0.360587,422/800,16.1697,
90,LossyCounting,800,289.475,278.603,46/800,1.93277,
90,spacesaving,800,503.918,396.588,82/800,17.7041,
90,CuckooCounter,900,2.67111,1.49145,510/900,18.8605,
90,CuckooSketch,900,0.983333,inf,581/900,20.8877,
90,CuckooSketchPro,900,0.428889,0.0995582,581/900,26.723,
90,heavykeeper,900,12.6856,0.320953,413/900,16.1836,
90,LossyCounting,900,291.422,281.758,46/900,1.97043,
90,spacesaving,900,506.534,402.081,85/900,17.7955,
90,CuckooCounter,1000,2.965,1.7696,525/1000,19.0223,
90,CuckooSketch,1000,1.039,inf,597/1000,20.8464,
90,CuckooSketchPro,1000,0.461,0.135952,600/1000,26.8435,
90,heavykeeper,1000,18.45,0.476647,419/1000,15.9469,
90,LossyCounting,1000,292.98,284.282,46/1000,1.99208,
90,spacesaving,1000,508.852,401.282,87/1000,17.66,
100,CuckooCounter,100,0.31,0.00121994,92/100,20.7637,
100,CuckooSketch,100,0.02,5.65325e-05,98/100,20.8312,
100,CuckooSketchPro,100,0.01,1.70068e-05,98/100,26.7473,
100,heavykeeper,100,1.47,0.00479563,88/100,17.3145,
100,LossyCounting,100,145,139.887,48/100,1.92401,
100,spacesaving,100,316.97,183.825,41/100,17.2259,
100,CuckooCounter,200,2.02,1.2397,175/200,20.3207,
100,CuckooSketch,200,0.02,7.92867e-05,181/200,20.8855,
100,CuckooSketchPro,200,0.05,0.000200607,178/200,26.8147,
100,heavykeeper,200,2.83,0.0121603,176/200,17.1689,
100,LossyCounting,200,211,208.444,48/200,1.8905,
100,spacesaving,200,389.555,285.929,48/200,17.4222,
100,CuckooCounter,300,0.346667,0.00202468,297/300,19.8173,
100,CuckooSketch,300,0.0133333,5.28578e-05,296/300,20.9503,
100,CuckooSketchPro,300,0.0333333,0.000133738,296/300,26.7215,
100,heavykeeper,300,4.56667,0.0242813,295/300,16.8967,
100,LossyCounting,300,232.88,214.616,48/300,1.94876,
100,spacesaving,300,417.873,335.742,51/300,17.5657,
100,CuckooCounter,400,0.2325,0.00343785,400/400,19.5806,
100,CuckooSketch,400,0.0825,0.00132046,400/400,20.9714,
